Name,Industry,Sector,Headquarters,Founded,Notes
A K Khan & Company,Conglomerates,-,Chittagong,1945,"Textiles, logistics, water, financial services, telecoms, agriculture"
Aarong,Consumer goods,Personal & household goods,Dhaka,1978,General retail
Abul Khair Group,Conglomerates,-,Chattogram,1953,"Steel, cement, tobacco, food & beverage, consumer product, automobile"
Adamjee Jute Mills,Consumer goods,Clothing & accessories,Narayanganj,1951,"Jute mill, defunct 2002"
Advanced Chemical Industries (ACI),Conglomerates,-,Dhaka,1968,"Chemicals, foods, pharma, consumer products, logistics, consumer electronics, automobile services, communication"
Agamee Prakashani,Consumer services,Publishing,Dhaka,1986,Publishing
Agrani Bank,Financials,Banks,Dhaka,1972,State-owned bank
Airtel Bangladesh,Telecommunications,Mobile telecommunications,Dhaka,2007,"4G cellular, part of Axiata (Malaysia)"
Akij,Conglomerates,-,Dhaka,1940,"Textiles, tobacco, food & beverage, cement, ceramics, printing, pharma, consumer products, automobile, hospital"
Alim Industries Limited,Industrials,-,Sylhet,1990,Agricultural machinery
Amar Desh,Consumer services,Publishing,Dhaka,2004,Newspaper
Asian TV,Consumer services,Broadcasting & entertainment,Dhaka,2013,Satellite television channel
ATN Bangla,Consumer services,Broadcasting & entertainment,Dhaka,1997,Cable television channel
Bangladesh Bank,Financials,Banks,Dhaka,1971,State bank
Bangladesh Machine Tools Factory,Industrials,Defense,Gazipur City,1979,Defense vehicles
Bangladesh Petroleum Corporation,Oil & gas,Exploration & production,Dhaka,1976,State-owned petrochemical
Bangladesh Railway,Industrials,Railroads,Dhaka,1862,Railroads
Bangladesh Shipping Corporation,Industrials,Marine transportation,Chittagong,1972,State-owned shipping
Bangladesh Telecommunications Company Limited,Telecommunications,Mobile Telecommunications,Dhaka,1971,State-owned mobile Telecommunications
Banglalink,Telecommunications,Mobile telecommunications,Dhaka,1996,4G cellular
Banglalion,Telecommunications,Mobile telecommunications,Dhaka,2008,4G LTE wireless broadband
Banglavision,Consumer services,Broadcasting & entertainment,Dhaka,2006,Satellite TV channel
Bashundhara Group,Conglomerates,-,Dhaka,1987,"Property development, cement, paper, steel, food"
Best Air,Consumer services,Airlines,Dhaka,2007,"Private airline, defunct 2009"
Beximco Pharma,Health care,Pharmaceuticals,Gazipur City,1980,"Pharmaceuticals, part of Beximco"
Beximco,Conglomerates,-,Dhaka,1972,"Pharmaceuticals, textiles, ceramics, aviation, media, finance, real estate, construction"""
Bikroy.com,Technology,Software,Dhaka,2012,E-commerce
Biman Bangladesh Airlines,Consumer services,Airlines,Dhaka,1972,Flag carrier airline
Bismillah Airlines,Consumer services,Airlines,Dhaka,1998,Airline
Bismillah Group,Consumer goods,Clothing & accessories,Dhaka,1988,Textiles and towels
BRAC Bank Limited,Financials,Banks,Dhaka,2001,Private commercial bank
BSRM,Basic materials,Iron & steel,Chittagong,1952,Steel products
BTCL,Telecommunications,Fixed line telecommunications,Dhaka,1971,"Fixed line, broadband Internet"
Building Technology & Ideas,Financials,Real estate holding & development,Dhaka,1984,"Financial services, real estate"
Channel 9,Consumer services,Broadcasting & entertainment,Dhaka,2011,Satellite TV channel
Channel i,Consumer services,Broadcasting & entertainment,Dhaka,1999,Private television network
City Group,Conglomerates,-,Dhaka,1972,"Consumer goods, foods, steel, printing & packaging, shipping, power & energy, financials"
Citycell,Telecommunications,Mobile telecommunications,Dhaka,1989,CDMA mobile communications
Concord Group,Conglomerates,-,Dhaka,1973,"Construction, real estate, architecture & design, communication, entertainment, hospitality, garments"
Confidence Group,Conglomerates,-,Dhaka,1991,"Engineering, concrete, energy, paints"
Cooper's,Consumer goods,Food & beverage,Dhaka,1984,Bakery
Credit Rating Information and Services Limited (CRISL),Financials,Consumer finance,Dhaka,1992,Credit ratings
DBL Group,Conglomerates,,Dhaka,1991,"Textile, Pharmaceuticals, ICT, Semiconductors"
Delta Brac Housing Finance Corporation,Financials,Consumer finance,Dhaka,1996,Financial services
Desh TV,Consumer services,Broadcasting & entertainment,Dhaka,2009,Television network
Dhaka Bank Limited,Financials,Banks,Dhaka,1995,Private commercial bank
Dragon Group,Consumer goods,Clothing & accessories,Dhaka,1980,Clothing
Dutch Bangla Bank,Financials,Banks,Dhaka,1995,Private commercial bank
Eastern Bank Limited,Financials,Banks,Dhaka,1992,Private commercial bank
Eastern Housing Limited,Financials,Real estate holding & development,Dhaka,1965,Real estate
Ekushey Television,Consumer services,Broadcasting & entertainment,Dhaka,2000,Satellite TV channel
Eskayef Bangladesh,Health care,Pharmaceuticals,Dhaka,1990,Pharmaceuticals
EXIM Bank,Financials,Banks,Dhaka,1999,Private commercial bank
